,City,Cloudiness,Country,Date,Humidity,lat,Lng,max_temp,Wind Speed
313,christchurch,45,ZA,1587837892,79,-33.02,27.91,66.18,10.47
314,mrirt,75,RU,1587837893,96,69.19,33.25,32,11.18
315,zaraza,35,SD,1587837894,9,15.16,33.14,92.14,10.42
316,san patricio,2,AU,1587837896,82,-24.85,152.35,62.6,6.93
317,haines junction,0,OM,1587837897,41,22.57,59.53,86.09,7
318,hambantota,90,RU,1587837898,62,54.75,55.33,53.6,22.37
319,silver city,100,RU,1587837899,91,71.69,128.87,33.15,15.66
320,minsk,0,MR,1587837900,14,20.5,-10.07,87.78,7.99
321,rawson,0,CL,1587837902,99,-32.83,-70.6,72,1.01
322,meulaboh,59,CN,1587837903,17,38.42,77.24,68.5,5.64
323,bathsheba,75,SA,1587837778,27,24.69,46.72,89.6,10.29
324,toliary,1,CA,1587837905,17,49.12,-68.4,42.8,14.99
325,khani,36,AU,1587837906,82,-34.58,150.86,68,1.01
326,rio grande,8,ER,1587837907,51,13.93,41.69,91.24,13.62
327,przhevalskoye,83,NO,1587837909,75,62.58,6.13,45,4.7
328,mizdah,100,BS,1587837910,84,25.5,-76.65,80.04,13.27
329,tiquicheo,97,NC,1587837911,77,-21.13,164.9,68.92,5.57
330,fortuna,8,IN,1587837912,76,25.52,90.22,68.88,2.82
331,kavadarci,0,CN,1587837914,49,35.41,116.58,48.4,6.31
332,goundam,8,ML,1587837915,11,22.68,-3.98,94.03,13.71
333,tazovskiy,8,TR,1587837721,31,38.92,34.67,48.13,4.16
334,sar-e pul,20,ID,1587837917,94,-8.19,114.97,82.4,8.05
335,klaksvik,75,TM,1587837919,59,37.5,61.97,66.2,6.93
336,aasiaat,1,PE,1587837896,83,-13.41,-76.13,73,10.29
337,okhotsk,90,RU,1587837921,60,66.42,112.4,41,11.18
338,meyungs,0,CN,1587837922,10,43.8,87.6,75.2,13.42
339,attawapiskat,1,MU,1587837923,89,-20.01,57.66,75.99,4
340,staunton,94,BY,1587837925,68,52.8,28,46.56,11.21
341,paoua,100,RU,1587837926,51,53.45,56.04,46.85,18.01
342,east london,96,RU,1587837927,45,62.54,113.96,42.8,11.18
343,snezhnogorsk,1,CL,1587837929,54,-25.4,-70.48,71.13,6.89
344,wad rawah,100,US,1587837930,44,38.03,-121.88,80.01,1.99
345,bundaberg,0,IN,1587837931,85,20.71,70.98,80.02,15.1
346,sur,75,US,1587837932,27,46.36,-94.2,64.4,9.17
347,dmitriyevka,65,IN,1587837933,74,18.93,84.6,81.03,5.08
348,tiksi,10,RE,1587837934,83,-21.37,55.62,77,3.36
349,adrar,100,ID,1587837936,80,-7.95,110.28,79.66,4.16
350,los andes,19,CA,1587837937,83,51.23,-58.65,35.46,12.57
351,shache,95,SO,1587837938,77,2.04,45.34,83.41,12.82
352,riyadh,40,GT,1587837939,63,14.3,-91.92,91.4,9.17
353,chute-aux-outardes,2,NO,1587837940,76,58.38,8.68,50,11.41
354,flinders,2,PE,1587837941,58,-11.1,-77.61,77.38,9.55
355,edd,65,LY,1587837943,31,31.76,13.99,74.7,18.72
356,roald,5,KZ,1587837944,53,52.83,70.78,44.78,6.08
357,dunmore town,75,US,1587837945,75,57.05,-135.33,46.4,5.82
358,pouembout,0,NA,1587837946,72,-26.65,15.16,65.84,6.6
359,tura,28,RU,1587837947,80,57.31,32.08,33.67,2.57
360,jining,40,IE,1587837778,93,52.33,-6.46,55.99,4.7
361,taoudenni,1,PE,1587837950,51,-6.84,-79.93,84.2,9.17
362,nevsehir,23,AU,1587837952,83,-12.49,130.98,80.6,2.24
363,banjar,100,RU,1587837954,81,52.78,37.68,49.5,8.75
364,murgab,75,MA,1587837955,82,35.17,-2.93,62.6,13.87
365,chincha alta,1,CO,1587837956,37,4.79,-71.34,95.16,10.6
366,udachnyy,0,EG,1587837958,43,29.07,31.1,69.4,12.21
367,urumqi,37,EG,1587837959,48,29.97,32.53,68.88,13.94
368,grand gaube,33,TM,1587837961,35,39.48,62.91,75.06,10.09
369,naftah,0,RU,1587837861,94,66.83,70.83,19.83,11.43
370,lyuban,42,MV,1587837963,71,5.67,73,85.64,5.08
371,ishimbay,20,JP,1587837964,59,35.13,140.3,61,23.04
372,mirnyy,66,CM,1587837966,64,2.67,12.71,76.57,3.65
373,taltal,14,US,1587837791,17,36.21,-115.98,84,1.01
374,pittsburg,86,CN,1587837968,88,22.55,114.07,71.01,4.47
375,diu,1,US,1587837970,36,36.68,-101.48,64.4,11.41
376,brainerd,67,LK,1587837971,85,6.8,81.48,77.58,0.83
377,sompeta,40,PA,1587837877,48,8.62,-80.6,85.95,9.62
378,saint-joseph,87,SO,1587837973,72,7.98,49.82,84.67,11.61
379,bambanglipuro,99,ID,1587837974,77,-10.17,123.58,81.14,14.9
380,saint-augustin,55,US,1587837976,58,42.25,-75.83,59,1.99
381,mogadishu,75,PR,1587837977,62,18.43,-65.83,87.8,21.92
382,champerico,100,KE,1587837978,80,-2.27,40.9,81.07,10.16
383,fort saint john,20,MU,1587837979,94,-20.52,57.52,77,3.36
384,fevik,100,RU,1587837980,97,69.7,170.31,17.73,5.99
385,hualmay,75,MY,1587837982,100,4.41,114.01,78.8,2.24
386,bani walid,65,CN,1587837983,74,46.08,125.98,46,4.47
